
Operation; Operation Status; Created; Accepted; Start Load; Start Drive; Start Unload; End Operation; Start Latitude; Start Longitude; Current Latitude; Current Longitude; Speed; Accuracy; Old Distance to Target; Distance to Target; Old Distance to Shengen; Distance to Shengen; Old Distance to NonShengen; Distance to NonShengen; Predicted Distance; Alert Nb; Loop Time; Measurement Time

1; 2; 19:09; 19:11; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1740559; 20,9691103; 0; 139; 0; 615,41; 0; 449,8; 0; 215,34; 215,34; 0; 1280; 20:07:39

1; 2; 19:09; 19:11; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1739366; 20,971833; 0; 166; 615,41; 615,06; 449,8; 399,21; 215,34; 219,26; 219,26; 0; 0; 20:07:43

1; 2; 19:09; 19:11; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1739366; 20,971833; 0; 166; 615,06; 615,06; 399,21; 399,21; 219,26; 219,26; 219,26; 0; 0; 20:07:46

1; 2; 19:09; 19:11; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1739366; 20,971833; 0; 166; 615,06; 615,06; 399,21; 399,21; 219,26; 219,26; 219,26; 0; 0; 20:07:49

1; 2; 19:09; 19:11; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1739366; 20,971833; 0; 166; 615,06; 615,06; 399,21; 399,21; 219,26; 219,26; 219,26; 0; 0; 20:07:52

1; 2; 19:09; 19:11; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1739366; 20,971833; 0; 166; 615,06; 615,06; 399,21; 399,21; 219,26; 219,26; 219,26; 0; 468; 20:07:56

1; 2; 19:09; 19:11; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1739366; 20,971833; 0; 166; 615,06; 615,06; 399,21; 399,21; 219,26; 219,26; 219,26; 0; 0; 20:07:59

1; 2; 19:09; 19:11; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1739366; 20,971833; 0; 166; 615,06; 615,06; 399,21; 399,21; 219,26; 219,26; 219,26; 0; 0; 20:08:02

1; 2; 19:09; 19:11; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1739366; 20,971833; 0; 166; 615,06; 615,06; 399,21; 399,21; 219,26; 219,26; 219,26; 0; 0; 20:08:06

1; 2; 19:09; 19:11; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1739366; 20,971833; 0; 166; 615,06; 615,06; 399,21; 399,21; 219,26; 219,26; 219,26; 0; 0; 20:08:09
