
Operation; Operation Status; Created; Accepted; Start Load; Start Drive; Start Unload; End Operation; Start Latitude; Start Longitude; Current Latitude; Current Longitude; Speed; Accuracy; Old Distance to Target; Distance to Target; Old Distance to Shengen; Distance to Shengen; Old Distance to NonShengen; Distance to NonShengen; Predicted Distance; Alert Nb; Loop Time; Measurement Time

2; 1; 18:22; 00:00; 00:00; 00:00; 00:00; ; ; ; 52,191232; 21,0157568; 0; 6905; 0; 0; 0; 0; 0; 0; 0; 0; 8000; 04:34:37

2; 1; 18:22; 00:00; 00:00; 00:00; 00:00; ; ; ; 52,191232; 21,0157568; 0; 6905; 0; 0; 0; 0; 0; 0; 0; 0; 0; 04:34:40

2; 2; 18:22; 00:00; 00:00; 00:00; 00:00; ; ; ; 52,191232; 21,0157568; 0; 6905; 0; 3706,33; 0; 3797,79; 0; 3759,23; 3759,23; 0; 15; 04:34:42

2; 2; 18:22; 00:00; 00:00; 00:00; 00:00; ; ; ; 52,191232; 21,0157568; 0; 6905; 3706,33; 3706,33; 3797,79; 3797,79; 3759,23; 3759,23; 3706,33; 0; 0; 04:34:44

2; 2; 18:22; 00:00; 00:00; 00:00; 00:00; ; ; ; 52,191232; 21,0157568; 0; 6905; 3706,33; 3706,33; 3797,79; 3797,79; 3759,23; 3759,23; 3706,33; 0; 0; 04:34:46

2; 2; 18:22; 00:00; 00:00; 00:00; 00:00; ; ; ; 52,191232; 21,0157568; 0; 6905; 3706,33; 3706,33; 3797,79; 3797,79; 3759,23; 3759,23; 3706,33; 0; 0; 04:34:49

2; 2; 18:22; 00:00; 00:00; 00:00; 00:00; ; ; ; 52,191232; 21,0157568; 0; 6905; 3706,33; 3706,33; 3797,79; 3797,79; 3759,23; 3759,23; 3706,33; 0; 0; 04:34:51

2; 2; 18:22; 00:00; 00:00; 00:00; 00:00; ; ; ; 52,191232; 21,0157568; 0; 6905; 3706,33; 3706,33; 3797,79; 3797,79; 3759,23; 3759,23; 3706,33; 0; 0; 04:34:53

2; 2; 18:22; 00:00; 00:00; 00:00; 00:00; ; ; ; 52,191232; 21,0157568; 0; 6905; 3706,33; 3706,33; 3797,79; 3797,79; 3759,23; 3759,23; 3706,33; 0; 0; 04:34:55

2; 2; 18:22; 00:00; 00:00; 00:00; 00:00; ; ; ; 52,191232; 21,0157568; 0; 6905; 3706,33; 3706,33; 3797,79; 3797,79; 3759,23; 3759,23; 3706,33; 0; 0; 04:34:57

