
Operation; Operation Status; Created; Accepted; Start Load; Start Drive; Start Unload; End Operation; Start Latitude; Start Longitude; Current Latitude; Current Longitude; Speed; Accuracy; Old Distance to Target; Distance to Target; Old Distance to Shengen; Distance to Shengen; Old Distance to NonShengen; Distance to NonShengen; Predicted Distance; Alert Nb; Loop Time; Measurement Time

1; 1; 19:12; 00:00; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1683058; 20,9772704; 0; 40; 0; 0; 0; 0; 0; 0; 0; 0; 2262; 22:37:49

1; 2; 19:12; 00:00; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1683058; 20,9772704; 0; 40; 0; 0; 0; 0; 0; 0; 0; 0; 1623; 22:37:59

1; 2; 19:12; 00:00; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1683058; 20,9772704; 0; 40; 0; 0; 0; 0; 0; 0; 0; 0; 1560; 22:38:03

1; 2; 19:12; 00:00; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1683058; 20,9772704; 0; 40; 0; 0; 0; 0; 0; 0; 0; 0; 1685; 22:38:08

1; 2; 19:12; 22:37; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1683058; 20,9772704; 0; 40; 0; 0; 0; 0; 0; 0; 0; 0; 166281; 22:40:56

1; 2; 19:12; 22:37; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1683073; 20,9772711; 0; 33; 0; 0; 0; 0; 0; 0; 0; 0; 2543; 22:41:16

1; 2; 19:12; 22:37; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1683073; 20,9772711; 0; 33; 0; 0; 0; 0; 0; 0; 0; 0; 999; 22:41:19

1; 2; 19:12; 22:37; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1683073; 20,9772711; 0; 33; 0; 0; 0; 0; 0; 0; 0; 0; 45396; 22:42:07

1; 2; 19:12; 22:37; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1683073; 20,9772711; 0; 33; 0; 0; 0; 0; 0; 0; 0; 0; 1482; 22:42:11

1; 2; 19:12; 22:37; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1683073; 20,9772711; 0; 33; 0; 0; 0; 0; 0; 0; 0; 0; 2449; 22:42:16

1; 2; 19:12; 22:37; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1683073; 20,9772711; 0; 33; 0; 0; 0; 0; 0; 0; 0; 0; 1170; 22:42:19

1; 2; 19:12; 22:37; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1683073; 20,9772711; 0; 33; 0; 0; 0; 0; 0; 0; 0; 0; 1139; 22:42:23

1; 2; 19:12; 22:37; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1683073; 20,9772711; 0; 33; 0; 0; 0; 0; 0; 0; 0; 0; 1139; 22:42:26

1; 2; 19:12; 22:37; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1683073; 20,9772711; 0; 33; 0; 0; 0; 0; 0; 0; 0; 0; 1216; 22:42:30

1; 2; 19:12; 22:37; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1683073; 20,9772711; 0; 33; 0; 0; 0; 0; 0; 0; 0; 0; 94630; 22:44:07

1; 2; 19:12; 22:37; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1683073; 20,9772711; 0; 33; 0; 0; 0; 0; 0; 0; 0; 0; 1357; 22:44:11

1; 2; 19:12; 22:37; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1683073; 20,9772711; 0; 33; 0; 0; 0; 0; 0; 0; 0; 0; 1700; 22:44:15

1; 2; 19:12; 22:37; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1683073; 20,9772711; 0; 33; 0; 0; 0; 0; 0; 0; 0; 0; 148528; 22:46:45

1; 2; 19:12; 22:37; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1683073; 20,9772711; 0; 33; 0; 0; 0; 0; 0; 0; 0; 0; 2512; 22:46:52

1; 2; 19:12; 22:37; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1683073; 20,9772711; 0; 33; 0; 0; 0; 0; 0; 0; 0; 0; 1857; 22:46:56
