
Operation; Operation Status; Created; Accepted; Start Load; Start Drive; Start Unload; End Operation; Start Latitude; Start Longitude; Current Latitude; Current Longitude; Speed; Accuracy; Old Distance to Target; Distance to Target; Old Distance to Shengen; Distance to Shengen; Old Distance to NonShengen; Distance to NonShengen; Predicted Distance; Alert Nb; Loop Time; Measurement Time

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1718726; 20,9710662; 0; 63; 302,51; 302,51; 175,58; 175,58; 71,88; 71,88; 302,51; 3; 1607; 20:13:51

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1718726; 20,9710662; 0; 63; 302,51; 302,51; 175,58; 175,58; 71,88; 71,88; 302,51; 3; 874; 20:13:58

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1718726; 20,9710662; 0; 63; 302,51; 302,51; 175,58; 175,58; 71,88; 71,88; 302,51; 3; 1014; 20:14:06

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1718726; 20,9710662; 0; 63; 302,51; 302,51; 175,58; 175,58; 71,88; 71,88; 302,51; 3; 1045; 20:14:14

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1718726; 20,9710662; 0; 63; 302,51; 302,51; 175,58; 175,58; 71,88; 71,88; 302,51; 3; 4368; 20:14:29

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1718726; 20,9710662; 0; 63; 302,51; 302,51; 175,58; 175,58; 71,88; 71,88; 302,51; 3; 2543; 20:14:37

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1718726; 20,9710662; 0; 63; 302,51; 302,51; 175,58; 175,58; 71,88; 71,88; 302,51; 3; 811; 20:14:42

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1718726; 20,9710662; 0; 63; 302,51; 302,51; 175,58; 175,58; 71,88; 71,88; 302,51; 3; 18128; 20:15:14

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1718726; 20,9710662; 0; 63; 302,51; 302,51; 175,58; 175,58; 71,88; 71,88; 302,51; 3; 4353; 20:15:25

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 302,51; 581,61; 175,58; 278,01; 71,88; 417,21; 581,61; 0; 6396; 20:15:34

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:15:39

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:15:42

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:15:50

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:15:53

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 1311; 20:15:56

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:15:59

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:16:01

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:16:04

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:16:06

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 561; 20:16:09

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:16:11

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:16:13

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:16:16

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:16:18

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 1358; 20:16:22

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:16:24

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 16; 20:16:27

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:16:29

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:16:32

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 842; 20:16:35

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:16:37

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:16:39

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:16:42

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:16:44

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 546; 20:16:47

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:16:49

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:16:59

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:17:01

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:17:04

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 1467; 20:19:22

1; 3; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:25:33

1; 3; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:25:35

1; 3; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:25:37

1; 3; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:25:40

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 1342; 20:25:43

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 15; 20:25:45

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:25:48

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:25:50

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:25:52

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 1404; 20:25:56

1; 2; 19:12; 19:12; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1707; 20,9757729; 0; 33; 581,61; 581,61; 278,01; 278,01; 417,21; 417,21; 581,61; 0; 0; 20:25:59

