
Operation; Operation Status; Created; Accepted; Start Load; Start Drive; Start Unload; End Operation; Start Latitude; Start Longitude; Current Latitude; Current Longitude; Speed; Accuracy; Old Distance to Target; Distance to Target; Old Distance to Shengen; Distance to Shengen; Old Distance to NonShengen; Distance to NonShengen; Predicted Distance; Alert Nb; Loop Time; Measurement Time

2; 3; 15:04; 20:23; 20:33; 00:00; 00:00; 00:00; 0; 0; 52,172632; 21,0661267; 0; 41; 0; 0; 0; 0; 0; 0; 0; 0; 265; 21:40:14

2; 3; 15:04; 20:23; 20:33; 00:00; 00:00; 00:00; 0; 0; 52,1726369; 21,0661295; 0; 41; 0; 0; 0; 0; 0; 0; 0; 0; 0; 21:40:16

2; 3; 15:04; 20:23; 20:33; 00:00; 00:00; 00:00; 0; 0; 52,1726369; 21,0661295; 0; 41; 0; 0; 0; 0; 0; 0; 0; 0; 0; 21:40:19

2; 3; 15:04; 20:23; 20:33; 00:00; 00:00; 00:00; 0; 0; 52,1726369; 21,0661295; 0; 41; 0; 0; 0; 0; 0; 0; 0; 0; 0; 21:40:21

2; 3; 15:04; 20:23; 20:33; 00:00; 00:00; 00:00; 0; 0; 52,1726369; 21,0661295; 0; 41; 0; 0; 0; 0; 0; 0; 0; 0; 0; 21:40:23

2; 3; 15:04; 20:23; 20:33; 00:00; 00:00; 00:00; 0; 0; 52,1726369; 21,0661295; 0; 41; 0; 0; 0; 0; 0; 0; 0; 0; 0; 21:40:25

2; 3; 15:04; 20:23; 20:33; 00:00; 00:00; 00:00; 0; 0; 52,1726369; 21,0661295; 0; 41; 0; 0; 0; 0; 0; 0; 0; 0; 0; 21:40:28

2; 3; 15:04; 20:23; 20:33; 00:00; 00:00; 00:00; 0; 0; 52,1726369; 21,0661295; 0; 41; 0; 0; 0; 0; 0; 0; 0; 0; 0; 21:40:30

2; 3; 15:04; 20:23; 20:33; 00:00; 00:00; 00:00; 0; 0; 52,1726369; 21,0661295; 0; 41; 0; 0; 0; 0; 0; 0; 0; 0; 0; 21:40:32

2; 3; 15:04; 20:23; 20:33; 00:00; 00:00; 00:00; 0; 0; 52,1726369; 21,0661295; 0; 41; 0; 0; 0; 0; 0; 0; 0; 0; 0; 21:40:34

2; 3; 15:04; 20:23; 20:33; 00:00; 00:00; 00:00; 0; 0; 52,1726369; 21,0661295; 0; 41; 0; 0; 0; 0; 0; 0; 0; 0; 0; 21:40:37

2; 3; 15:04; 20:23; 20:33; 00:00; 00:00; 00:00; 0; 0; 52,1726369; 21,0661295; 0; 41; 0; 0; 0; 0; 0; 0; 0; 0; 0; 21:40:39

2; 3; 15:04; 20:23; 20:33; 00:00; 00:00; 00:00; 0; 0; 52,1726369; 21,0661295; 0; 41; 0; 0; 0; 0; 0; 0; 0; 0; 0; 21:40:41

2; 3; 15:04; 20:23; 20:33; 00:00; 00:00; 00:00; 0; 0; 52,1726369; 21,0661295; 0; 41; 0; 0; 0; 0; 0; 0; 0; 0; 0; 21:40:43

2; 3; 15:04; 20:23; 20:33; 00:00; 00:00; 00:00; 0; 0; 52,1726369; 21,0661295; 0; 41; 0; 0; 0; 0; 0; 0; 0; 0; 0; 21:40:46

2; 3; 15:04; 20:23; 20:33; 00:00; 00:00; 00:00; 0; 0; 52,1726369; 21,0661295; 0; 41; 0; 0; 0; 0; 0; 0; 0; 0; 0; 21:40:48

2; 3; 15:04; 20:23; 20:33; 00:00; 00:00; 00:00; 0; 0; 52,1726369; 21,0661295; 0; 41; 0; 0; 0; 0; 0; 0; 0; 0; 0; 21:40:50

2; 3; 15:04; 20:23; 20:33; 00:00; 00:00; 00:00; 0; 0; 52,1726369; 21,0661295; 0; 41; 0; 0; 0; 0; 0; 0; 0; 0; 0; 21:40:53

2; 3; 15:04; 20:23; 20:33; 00:00; 00:00; 00:00; 0; 0; 52,1726369; 21,0661295; 0; 41; 0; 0; 0; 0; 0; 0; 0; 0; 0; 21:40:55

2; 3; 15:04; 20:23; 20:33; 00:00; 00:00; 00:00; 0; 0; 52,1726369; 21,0661295; 0; 41; 0; 0; 0; 0; 0; 0; 0; 0; 0; 21:40:57

2; 3; 15:04; 20:23; 20:33; 00:00; 00:00; 00:00; 0; 0; 52,1726369; 21,0661295; 0; 41; 0; 0; 0; 0; 0; 0; 0; 0; 0; 21:40:59

