
52,1739677, 20,9693419, 0, 33, 0, 0, 0, 0, 0, 0, 0, 

52,1739677, 20,9693419, 0, 33, 0, 0, 0, 0, 0, 0, 0, 

52,162049, 20,9601972, 0, 22, 0, 0, 0, 0, 0, 0, 0, 

51,919438, 19,145136, 0, 240385, 0, 0, 0, 0, 0, 0, 0, 

51,919438, 19,145136, 0, 240385, 0, 0, 0, 0, 0, 0, 0, 

51,919438, 19,145136, 0, 240385, 0, 0, 0, 0, 0, 0, 0, 

51,919438, 19,145136, 0, 240385, 0, 0, 0, 0, 0, 0, 0, 

51,919438, 19,145136, 0, 240385, 0, 0, 0, 0, 0, 0, 0, 

51,919438, 19,145136, 0, 240385, 0, 0, 0, 0, 0, 0, 0, 

51,919438, 19,145136, 0, 240385, 0, 0, 0, 0, 0, 0, 0, 

51,919438, 19,145136, 0, 240385, 0, 0, 0, 0, 0, 0, 0, 

51,919438, 19,145136, 0, 240385, 0, 0, 0, 0, 0, 0, 0, 

52,1620485, 20,9601964, 0, 27, 0, 0, 0, 0, 0, 0, 0, 
