
Operation; Operation Status; Created; Accepted; Start Load; Start Drive; Start Unload; End Operation; Start Latitude; Start Longitude; Current Latitude; Current Longitude; Speed; Accuracy; Old Distance to Target; Distance to Target; Old Distance to Shengen; Distance to Shengen; Old Distance to NonShengen; Distance to NonShengen; Predicted Distance; Alert Nb; Loop Time; Measurement Time

1; 2; 19:09; 21:19; 00:00; 00:00; 00:00; ; ; ; 52,1739756; 20,9718466; 0; 160; 0; 619,5; 0; 403,56; 0; 223,47; 223,47; 0; 936; 18:31:48

1; 2; 19:09; 21:19; 00:00; 00:00; 00:00; ; ; ; 52,1739756; 20,9718466; 0; 160; 619,5; 619,5; 403,56; 403,56; 223,47; 223,47; 223,47; 0; 0; 18:31:54

1; 2; 19:09; 21:19; 00:00; 00:00; 00:00; ; ; ; 52,1739756; 20,9718466; 0; 160; 619,5; 619,5; 403,56; 403,56; 223,47; 223,47; 223,47; 0; 0; 18:31:56

1; 2; 19:09; 21:19; 00:00; 00:00; 00:00; ; ; ; 52,1739756; 20,9718466; 0; 160; 619,5; 619,5; 403,56; 403,56; 223,47; 223,47; 223,47; 0; 0; 18:31:59

1; 2; 19:09; 21:19; 00:00; 00:00; 00:00; ; ; ; 52,1739756; 20,9718466; 0; 160; 619,5; 619,5; 403,56; 403,56; 223,47; 223,47; 223,47; 0; 0; 18:32:01

1; 2; 19:09; 21:19; 00:00; 00:00; 00:00; ; ; ; 52,1739756; 20,9718466; 0; 160; 619,5; 619,5; 403,56; 403,56; 223,47; 223,47; 223,47; 0; 546; 18:32:04

1; 2; 19:09; 21:19; 00:00; 00:00; 00:00; ; ; ; 52,1739756; 20,9718466; 0; 160; 619,5; 619,5; 403,56; 403,56; 223,47; 223,47; 223,47; 0; 0; 18:32:06

1; 2; 19:09; 21:19; 00:00; 00:00; 00:00; ; ; ; 52,1739756; 20,9718466; 0; 160; 619,5; 619,5; 403,56; 403,56; 223,47; 223,47; 223,47; 0; 0; 18:32:08

1; 2; 19:09; 21:19; 00:00; 00:00; 00:00; ; ; ; 52,1739756; 20,9718466; 0; 160; 619,5; 619,5; 403,56; 403,56; 223,47; 223,47; 223,47; 0; 0; 18:32:11

1; 2; 19:09; 21:19; 00:00; 00:00; 00:00; ; ; ; 52,1739756; 20,9718466; 0; 160; 619,5; 619,5; 403,56; 403,56; 223,47; 223,47; 223,47; 0; 0; 18:32:13

1; 2; 19:09; 21:19; 00:00; 00:00; 00:00; ; ; ; 52,1739756; 20,9718466; 0; 160; 619,5; 619,5; 403,56; 403,56; 223,47; 223,47; 223,47; 0; 1264; 18:32:17

1; 2; 19:09; 21:19; 00:00; 00:00; 00:00; ; ; ; 52,1739756; 20,9718466; 0; 160; 619,5; 619,5; 403,56; 403,56; 223,47; 223,47; 223,47; 0; 0; 18:32:19

1; 2; 19:09; 21:19; 00:00; 00:00; 00:00; ; ; ; 52,1739756; 20,9718466; 0; 160; 619,5; 619,5; 403,56; 403,56; 223,47; 223,47; 223,47; 0; 0; 18:32:22

1; 2; 19:09; 21:19; 00:00; 00:00; 00:00; ; ; ; 52,1739756; 20,9718466; 0; 160; 619,5; 619,5; 403,56; 403,56; 223,47; 223,47; 223,47; 0; 0; 18:32:24

1; 2; 19:09; 21:19; 00:00; 00:00; 00:00; ; ; ; 52,1739756; 20,9718466; 0; 160; 619,5; 619,5; 403,56; 403,56; 223,47; 223,47; 223,47; 0; 0; 18:32:26

1; 2; 19:09; 21:19; 00:00; 00:00; 00:00; ; ; ; 52,1739756; 20,9718466; 0; 160; 619,5; 619,5; 403,56; 403,56; 223,47; 223,47; 223,47; 0; 1248; 18:32:30

1; 2; 19:09; 21:19; 00:00; 00:00; 00:00; ; ; ; 52,1739756; 20,9718466; 0; 160; 619,5; 619,5; 403,56; 403,56; 223,47; 223,47; 223,47; 0; 16; 18:32:32

1; 2; 19:09; 21:19; 00:00; 00:00; 00:00; ; ; ; 52,1739756; 20,9718466; 0; 160; 619,5; 619,5; 403,56; 403,56; 223,47; 223,47; 223,47; 0; 0; 18:32:35

1; 2; 19:09; 21:19; 00:00; 00:00; 00:00; ; ; ; 52,1739756; 20,9718466; 0; 160; 619,5; 619,5; 403,56; 403,56; 223,47; 223,47; 223,47; 0; 0; 18:32:37

1; 2; 19:09; 21:19; 00:00; 00:00; 00:00; ; ; ; 52,1739756; 20,9718466; 0; 160; 619,5; 619,5; 403,56; 403,56; 223,47; 223,47; 223,47; 0; 0; 18:32:39

1; 2; 19:09; 21:19; 00:00; 00:00; 00:00; ; ; ; 52,1739756; 20,9718466; 0; 160; 619,5; 619,5; 403,56; 403,56; 223,47; 223,47; 223,47; 0; 1294; 18:32:43

1; 2; 19:09; 21:19; 00:00; 00:00; 00:00; ; ; ; 52,1739756; 20,9718466; 0; 160; 619,5; 619,5; 403,56; 403,56; 223,47; 223,47; 223,47; 0; 0; 18:32:45

