
Operation; Operation Status; Created; Accepted; Start Load; Start Drive; Start Unload; End Operation; Start Latitude; Start Longitude; Current Latitude; Current Longitude; Speed; Accuracy; Old Distance to Target; Distance to Target; Old Distance to Shengen; Distance to Shengen; Old Distance to NonShengen; Distance to NonShengen; Predicted Distance; Alert Nb; Loop Time; Measurement Time

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 47; 12:15:06

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 32; 12:15:08

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 46; 12:15:10

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 32; 12:15:12

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 32; 12:15:14

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 31; 12:15:16

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 31; 12:15:18

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 15; 12:15:21

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 31; 12:15:23

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 31; 12:15:25

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 16; 12:15:27

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 32; 12:15:29

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 31; 12:15:31
