
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 018:45:36

52,1740505, 20,9685445, 0, 30, 0, 0, 0, 0, 0, 0, 0, 018:45:41

52,1740505, 20,9685445, 0, 30, 0, 0, 0, 0, 0, 0, 0, 018:45:46

52,1740505, 20,9685445, 0, 30, 0, 0, 0, 0, 0, 0, 0, 018:45:54

52,1740505, 20,9685445, 0, 30, 0, 92,29, 0, 466,02, 0, 231,01, 0, 018:45:58

52,1740505, 20,9685445, 0, 30, 92,29, 92,29, 466,02, 466,02, 231,01, 231,01, 0, 018:46:02

52,1740505, 20,9685445, 0, 30, 92,29, 92,29, 466,02, 466,02, 231,01, 231,01, 0, 018:46:07

52,1740505, 20,9685445, 0, 30, 92,29, 92,29, 466,02, 466,02, 231,01, 231,01, 0, 018:46:16

52,1740505, 20,9685445, 0, 30, 92,29, 92,29, 466,02, 466,02, 231,01, 231,01, 0, 018:46:22

52,1740505, 20,9685445, 0, 30, 92,29, 92,29, 466,02, 466,02, 231,01, 231,01, 0, 018:46:28

52,1740505, 20,9685445, 0, 30, 92,29, 92,29, 466,02, 466,02, 231,01, 231,01, 0, 018:46:34

52,1740505, 20,9685445, 0, 30, 92,29, 92,29, 466,02, 466,02, 231,01, 231,01, 0, 018:46:40

52,1740505, 20,9685445, 0, 30, 92,29, 92,29, 466,02, 466,02, 231,01, 231,01, 0, 018:46:45

52,1740505, 20,9685445, 0, 30, 92,29, 92,29, 466,02, 466,02, 231,01, 231,01, 0, 018:46:49

52,1740505, 20,9685445, 0, 30, 92,29, 92,29, 466,02, 466,02, 231,01, 231,01, 0, 018:46:53

52,1740505, 20,9685445, 0, 30, 92,29, 92,29, 466,02, 466,02, 231,01, 231,01, 0, 018:46:58

52,1740505, 20,9685445, 0, 30, 92,29, 92,29, 466,02, 466,02, 231,01, 231,01, 0, 018:47:02

52,1740505, 20,9685445, 0, 30, 92,29, 92,29, 466,02, 466,02, 231,01, 231,01, 0, 018:47:07

52,1740505, 20,9685445, 0, 30, 92,29, 92,29, 466,02, 466,02, 231,01, 231,01, 0, 018:47:12

52,1740505, 20,9685445, 0, 30, 92,29, 92,29, 466,02, 466,02, 231,01, 231,01, 0, 018:47:16

52,1740505, 20,9685445, 0, 30, 92,29, 92,29, 466,02, 466,02, 231,01, 231,01, 0, 018:47:21
