
Operation; Operation Status; Created; Accepted; Start Load; Start Drive; Start Unload; End Operation; Start Latitude; Start Longitude; Current Latitude; Current Longitude; Speed; Accuracy; Old Distance to Target; Distance to Target; Old Distance to Shengen; Distance to Shengen; Old Distance to NonShengen; Distance to NonShengen; Predicted Distance; Alert Nb; Loop Time; Measurement Time

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 63; 13:02:09

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 31; 13:02:11

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 47; 13:02:13

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 32; 13:02:15

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 15; 13:02:17

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 31; 13:02:19

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 15; 13:02:21

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 47; 13:02:23

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 32; 13:02:25

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 31; 13:02:28

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 31; 13:02:30

0; 0; ; ; ; ; ; ; 0; 0; 52,2231808; 21,0149376; 0; 8058; 0; 0; 0; 0; 0; 0; 0; 0; 31; 13:02:32
