
Operation; Operation Status; Created; Accepted; Start Load; Start Drive; Start Unload; End Operation; Start Latitude; Start Longitude; Current Latitude; Current Longitude; Speed; Accuracy; Old Distance to Target; Distance to Target; Old Distance to Shengen; Distance to Shengen; Old Distance to NonShengen; Distance to NonShengen; Predicted Distance; Alert Nb; Loop Time; Measurement Time

2; 3; 00:24; 11:54; 11:58; 00:00; 00:00; 00:00; 0; 0; 52,207616; 21,0460672; 0; 5597; 0; 0; 0; 0; 0; 0; 0; 0; 187; 12:26:10

2; 3; 00:24; 11:54; 11:58; 00:00; 00:00; 00:00; 0; 0; 52,207616; 21,0460672; 0; 5597; 0; 0; 0; 0; 0; 0; 0; 0; 0; 12:26:12

2; 3; 00:24; 11:54; 11:58; 00:00; 00:00; 00:00; 0; 0; 52,207616; 21,0460672; 0; 5597; 0; 0; 0; 0; 0; 0; 0; 0; 0; 12:26:15

2; 3; 00:24; 11:54; 11:58; 00:00; 00:00; 00:00; 0; 0; 52,207616; 21,0460672; 0; 5597; 0; 0; 0; 0; 0; 0; 0; 0; 0; 12:26:17

2; 3; 00:24; 11:54; 11:58; 00:00; 00:00; 00:00; 0; 0; 52,207616; 21,0460672; 0; 5597; 0; 0; 0; 0; 0; 0; 0; 0; 0; 12:26:19

2; 3; 00:24; 11:54; 11:58; 00:00; 00:00; 00:00; 0; 0; 52,207616; 21,0460672; 0; 5597; 0; 0; 0; 0; 0; 0; 0; 0; 141; 12:26:21

2; 3; 00:24; 11:54; 11:58; 00:00; 00:00; 00:00; 0; 0; 52,207616; 21,0460672; 0; 5597; 0; 0; 0; 0; 0; 0; 0; 0; 0; 12:26:23

2; 3; 00:24; 11:54; 11:58; 00:00; 00:00; 00:00; 0; 0; 52,207616; 21,0460672; 0; 5597; 0; 0; 0; 0; 0; 0; 0; 0; 0; 12:26:25

2; 3; 00:24; 11:54; 11:58; 00:00; 00:00; 00:00; 0; 0; 52,207616; 21,0460672; 0; 5597; 0; 0; 0; 0; 0; 0; 0; 0; 0; 12:26:27

2; 3; 00:24; 11:54; 11:58; 00:00; 00:00; 00:00; 0; 0; 52,207616; 21,0460672; 0; 5597; 0; 0; 0; 0; 0; 0; 0; 0; 0; 12:26:29

2; 3; 00:24; 11:54; 11:58; 00:00; 00:00; 00:00; 0; 0; 52,207616; 21,0460672; 0; 5597; 0; 0; 0; 0; 0; 0; 0; 0; 187; 12:26:31

2; 3; 00:24; 11:54; 11:58; 00:00; 00:00; 00:00; 0; 0; 52,207616; 21,0460672; 0; 5597; 0; 0; 0; 0; 0; 0; 0; 0; 0; 12:26:33

2; 3; 00:24; 11:54; 11:58; 00:00; 00:00; 00:00; 0; 0; 52,207616; 21,0460672; 0; 5597; 0; 0; 0; 0; 0; 0; 0; 0; 0; 12:26:35

